filename,label
F01_words08_06.jpg,r
F09_words08_07.jpg,r
M07_words08_02.jpg,r
M01_words08_05.jpg,r
F08_words08_03.jpg,r
F07_words08_01.jpg,r
M01_words08_10.jpg,r
M01_words08_04.jpg,r
F08_words08_02.jpg,r
M07_words08_03.jpg,r
F09_words08_06.jpg,r
M08_words08_01.jpg,r
F01_words08_07.jpg,r
F09_words08_04.jpg,r
F01_words08_05.jpg,r
M08_words08_03.jpg,r
F09_words08_10.jpg,r
M07_words08_01.jpg,r
M01_words08_06.jpg,r
F07_words08_02.jpg,r
F07_words08_03.jpg,r
F08_words08_01.jpg,r
M01_words08_07.jpg,r
F01_words08_04.jpg,r
M08_words08_02.jpg,r
F09_words08_05.jpg,r
F01_words08_10.jpg,r
F09_words08_01.jpg,r
M08_words08_06.jpg,r
M07_words08_04.jpg,r
M07_words08_10.jpg,r
M01_words08_03.jpg,r
F08_words08_05.jpg,r
F07_words08_07.jpg,r
F07_words08_06.jpg,r
M01_words08_02.jpg,r
F08_words08_04.jpg,r
F08_words08_10.jpg,r
M07_words08_05.jpg,r
M08_words08_07.jpg,r
F01_words08_01.jpg,r
F01_words08_03.jpg,r
M08_words08_05.jpg,r
F09_words08_02.jpg,r
M07_words08_07.jpg,r
F08_words08_06.jpg,r
F07_words08_10.jpg,r
F07_words08_04.jpg,r
F07_words08_05.jpg,r
F08_words08_07.jpg,r
M01_words08_01.jpg,r
M07_words08_06.jpg,r
M08_words08_10.jpg,r
F09_words08_03.jpg,r
F01_words08_02.jpg,r
M08_words08_04.jpg,r
F05_words08_04.jpg,r
F10_words08_04.jpg,r
F05_words08_10.jpg,r
M04_words08_03.jpg,r
F10_words08_10.jpg,r
F02_words08_07.jpg,r
M02_words08_04.jpg,r
M02_words08_10.jpg,r
M02_words08_05.jpg,r
F11_words08_01.jpg,r
F02_words08_06.jpg,r
M04_words08_02.jpg,r
F10_words08_05.jpg,r
F05_words08_05.jpg,r
F05_words08_07.jpg,r
F10_words08_07.jpg,r
F02_words08_10.jpg,r
F02_words08_04.jpg,r
F11_words08_03.jpg,r
M02_words08_07.jpg,r
M02_words08_06.jpg,r
F11_words08_02.jpg,r
F02_words08_05.jpg,r
F10_words08_06.jpg,r
F05_words08_06.jpg,r
M04_words08_01.jpg,r
M04_words08_05.jpg,r
F10_words08_02.jpg,r
F05_words08_02.jpg,r
F02_words08_01.jpg,r
F11_words08_06.jpg,r
M02_words08_02.jpg,r
M02_words08_03.jpg,r
F11_words08_07.jpg,r
F05_words08_03.jpg,r
M04_words08_10.jpg,r
F10_words08_03.jpg,r
M04_words08_04.jpg,r
F10_words08_01.jpg,r
F05_words08_01.jpg,r
M04_words08_06.jpg,r
F02_words08_02.jpg,r
F11_words08_05.jpg,r
M02_words08_01.jpg,r
F11_words08_04.jpg,r
F11_words08_10.jpg,r
F02_words08_03.jpg,r
M04_words08_07.jpg,r
F11_words08_09.jpg,r
F11_words08_08.jpg,r
M04_words08_09.jpg,r
M04_words08_08.jpg,r
F02_words08_08.jpg,r
F02_words08_09.jpg,r
F10_words08_08.jpg,r
F05_words08_08.jpg,r
M02_words08_08.jpg,r
M02_words08_09.jpg,r
F05_words08_09.jpg,r
F10_words08_09.jpg,r
M08_words08_09.jpg,r
F07_words08_08.jpg,r
F07_words08_09.jpg,r
M08_words08_08.jpg,r
M07_words08_08.jpg,r
F08_words08_09.jpg,r
F08_words08_08.jpg,r
M07_words08_09.jpg,r
F01_words08_09.jpg,r
F09_words08_08.jpg,r
F09_words08_09.jpg,r
F01_words08_08.jpg,r
M01_words08_09.jpg,r
M01_words08_08.jpg,r
F08_phrases09_03.jpg,i
F07_phrases09_10.jpg,i
F07_phrases09_04.jpg,i
M02_phrases09_04.jpg,i
M02_phrases09_05.jpg,i
F07_phrases09_05.jpg,i
F08_phrases09_02.jpg,i
F07_phrases09_07.jpg,i
M02_phrases09_06.jpg,i
F07_phrases09_06.jpg,i
F08_phrases09_01.jpg,i
